,SoH,LAM PE,LAM NE_tot,LAM NE_Gr,LAM NE_Si,LLI
0,1.0,0.0,0.0,0.0,0.0,0.0
1,0.9728835861201746,0.014831439153147774,0.015811828477351852,0.022684536884046258,-0.02232015600835413,0.027746608373818246
2,0.9582436224770353,0.028366220891208993,0.027961020774223133,0.030361089646455452,0.014644671005703214,0.04564719996686607
3,0.947536296723414,0.02415296260964428,0.03262776265527745,0.03386122778863687,0.02578410356985672,0.05421125870787223
4,0.9381771923413958,0.024288005101527066,0.03875032176640669,0.04042962703765707,0.0294329989933777,0.06372977887427331
5,0.9298657719265905,0.036829223539765255,0.04361404506693345,0.038410571783986214,0.07248457917890905,0.07535464274018484
6,0.922130901263721,0.03714371764116231,0.04805384124663037,0.04114278009325445,0.08639861903810653,0.08277896550764373
7,0.9170733804208439,0.039487303092501924,0.05337913393673466,0.04490392459243309,0.10040230618644608,0.08825343142390646
8,0.907814242490056,0.04918477805477406,0.06293646704226707,0.054546800460214206,0.10948502068605004,0.09786422600620484
9,0.9042946214961121,0.05287111503858333,0.06656948834650533,0.05821234873445624,0.11293757195691123,0.10151759539943594
10,0.8995338626476065,0.04825445707295262,0.07135646247251781,0.06150783665566906,0.12599978860109395,0.10582385010136597
11,0.8930768526511542,0.05508577417114702,0.0780214707133523,0.0682434707870182,0.1322729418115639,0.11252985931747717
12,0.8916416384715893,0.05250918977215391,0.07956006129955628,0.06949253763372165,0.13541790270908882,0.11409467354032594
