,RMSE (V)
0,0.008510150615275101
1,0.00614304522087985
2,0.005553804216910305
3,0.005385169473455762
4,0.005142648614779593
5,0.004884459862422813
6,0.004629819438508599
7,0.004525324063095161
8,0.004764940194147585
9,0.005410925891944047
10,0.004299956914000175
11,0.004601621702146958
12,0.0050344370700884985
