,Cell Capacity,PE Capacity,NE(tot) Capacity,NE(Gr) Capacity,NE(Si) Capacity,Offset
0,4827.61841318592,5542.47568139939,5119.48432008462,4337.683119736323,781.8012003482977,520.9022321274489
1,4696.710714240105,5460.272790572913,5038.535912122949,4239.284787015359,799.2511251075902,572.649378789876
2,4626.034556188113,5385.256591936661,4976.3383126574245,4205.986333680092,770.351978977333,584.050405735142
3,4574.343673223951,5408.6084735016875,4952.447000771484,4190.803843544006,761.6431572274789,648.746294969856
4,4529.161488578391,5407.860003774472,4921.102655403267,4162.312208997842,758.7904464054247,693.9496084642396
5,4489.037122344147,5338.350605565419,4896.20290022899,4171.070230889505,725.1326693394853,680.5606171050408
6,4451.696118308467,5336.607529656482,4873.47343330266,4159.218777026789,714.2546562758707,714.6593384937242
7,4427.280337562322,5323.618264285151,4846.21068087581,4142.904124021813,703.3065568539969,728.0987055821015
8,4382.580752797422,5269.8702451357785,4797.282063900211,4101.076384144426,696.2056797557856,720.7479353235804
9,4365.5893656796225,5249.438812049572,4778.68286829863,4085.1763972706676,693.5064710279622,717.9535755903065
10,4342.606238601839,5275.026526553419,4754.176029319859,4070.881614943528,683.2944143763307,764.330244585059
11,4311.434258248841,5237.164117664749,4720.054624137671,4041.664568471255,678.3900556664165,758.8418892670819
12,4304.505591848708,5251.444774037242,4712.17783375657,4036.246512294887,675.9313214616831,780.6768715950144
