,PE_lo,NE_lo,PE_hi,NE_hi,Gr_frac
0,0.10207161965805103,0.008756201755024796,0.9730936485660824,0.951745399758101,0.8472890722057382
1,0.11311930969091034,0.008933728128341705,0.973279762177627,0.9410915605136587,0.8413723472359192
2,0.1167353165863711,0.008962257913612248,0.9757537267981835,0.9385683790291509,0.8451970242823069
3,0.12797150336916974,0.008763639976889035,0.9737239174392512,0.9324168708971525,0.8462087212424825
4,0.13623297218610575,0.008693017807574288,0.9737475316268487,0.9290480288141965,0.8458088563602125
5,0.1352605815417908,0.008477547014190828,0.9761639717507755,0.9253180484840543,0.8518989747533601
6,0.14161431218915915,0.008429442943372474,0.9757952208599946,0.9218839183259616,0.853440330382219
7,0.1442597254697393,0.008230142343328008,0.9758896654419307,0.9217852122938198,0.8548749521704874
8,0.1442598770096034,0.008230264047508587,0.975889603916571,0.9217852092062606,0.8548749749374196
9,0.1442598770096034,0.008230264047508587,0.975889603916571,0.9217852092062606,0.8548749749374196
10,0.15229601133611426,0.00821072986370014,0.9755347603247755,0.9216405675096362,0.8562749022833124
11,0.15229644498566186,0.008211682013491737,0.9755347780572841,0.9216405724760712,0.8562749566080806
12,0.15598013099078428,0.008158472261972407,0.9756603860569459,0.9216438592124764,0.8565564914338499
