,RMSE (V)
0,0.00876552941515566
1,0.006036753247545432
2,0.005869951060986603
3,0.005670681251901185
4,0.005860819457834191
5,0.004939298328104437
6,0.005113234400071754
7,0.0048457548416574875
8,0.004980527218243704
9,0.005057946205746465
10,0.004683996191828587
11,0.004694816780393337
12,0.005198310656021261
