,PE_lo,NE_lo,PE_hi,NE_hi,Gr_frac
0,0.10274756329715035,0.008994509688995194,0.9736652093760899,0.9479787885806349,0.845005851792867
1,0.10891190176077535,0.009241727053254326,0.9749460108285392,0.9467623031964153,0.8416874146969707
2,0.11825236243912714,0.008920225936624959,0.9766012187467584,0.9368867626355925,0.8450763768446766
3,0.12386058553661172,0.00874337909001882,0.9754614716677262,0.9408118820131064,0.8465679802123458
4,0.12538000472643332,0.008179876906657228,0.9767679434714466,0.9404476037605002,0.8508760190559518
5,0.1263748269678805,0.00828013571350629,0.9788097181372167,0.9384365128545723,0.8551073892433372
6,0.1263748937274875,0.008280369493806793,0.9788097188566917,0.938436512937594,0.855107396282726
7,0.14150714395990174,0.008490802504273906,0.9753436285409803,0.9332382767462714,0.8518432385500707
8,0.14192340530282563,0.00831242052584746,0.9761583043262716,0.9309564132901725,0.8541920795060768
9,0.14192340530282563,0.00831242052584746,0.9761583043262716,0.9309564132901725,0.8541920795060768
10,0.14783464605478885,0.008092110223218348,0.9756757753884809,0.930276755655579,0.8551900519591547
11,0.14783464605478885,0.008092110223218348,0.9756757753884809,0.930276755655579,0.8551900519591547
12,0.14783464605478885,0.008092110223218348,0.9756757753884809,0.930276755655579,0.8551900519591547
