,Cell Capacity,PE Capacity,NE(tot) Capacity,NE(Gr) Capacity,NE(Si) Capacity,Offset
0,4847.4620921623855,5565.924762216855,5162.452877149597,4362.302890796333,800.1499863532647,525.4514743905497
1,4712.807421500397,5441.826565668949,5026.884253451034,4231.065211268113,795.8190421829214,546.2225881206175
2,4652.608090512157,5420.416251879606,5013.767098825315,4237.016134218343,776.750964606972,596.2530918730638
3,4608.199164678517,5411.2193161445675,4944.056311555007,4185.479765729222,758.5765458257844,627.0090343903641
4,4564.2694958435795,5360.97504807448,4895.878473930211,4165.785585679466,730.0928882507446,632.1113935991674
5,4532.998865343768,5317.706856327268,4873.372883037601,4167.257162823558,706.1157202140429,631.6720949801975
6,4490.223689354634,5267.527272450475,4827.38701561454,4127.934341771189,699.4526738433515,625.7106510836771
7,4466.404674833525,5356.451483503336,4829.864151285814,4114.287120388197,715.5770308976175,716.9667285592955
8,4442.907279541886,5325.726944224877,4815.408016943277,4113.283387663011,702.1246292802658,715.8176071970365
9,4419.564155285177,5297.745467683876,4790.107766315979,4091.6721139676542,698.4356523483243,712.05668708356
10,4398.575308138411,5313.308498792167,4769.733837930218,4079.0289286908815,690.7049092393368,746.8938693468958
11,4378.1333470677255,5288.615402077899,4747.566952836289,4060.0720290756312,687.4949237606575,743.4227510116309
12,4336.941289163449,5238.856992590041,4702.899045917318,4021.8724794366904,681.026566480628,736.4281917829729
