,SoH,LAM PE,LAM NE_tot,LAM NE_Gr,LAM NE_Si,LLI
0,1.0,0.0,0.0,0.0,0.0,0.0
1,0.9722216145063404,0.022296060735553125,0.026260505795341227,0.030084495004945144,0.005412665430492458,0.02988559941751901
2,0.959802882839398,0.026142737559983642,0.028801382184504898,0.028720324955500476,0.02924329456397945,0.04462337687374684
3,0.9506416093751986,0.02779510192492607,0.04230480564021655,0.040534352953843555,0.05195705959698127,0.05286539661371267
4,0.9415792035224606,0.03682222144532654,0.0516371596144376,0.04504898216294939,0.08755495756715537,0.06428304696901473
5,0.9351282752005308,0.044595986559962886,0.05599663589987258,0.04471164264734695,0.11752079952883465,0.07311836993058873
6,0.9263040337364676,0.05361148461653498,0.06490439128619419,0.05372587710945487,0.12584804627548363,0.0822402855102416
7,0.9213903254767123,0.03763494615225227,0.0644245543307349,0.05685432135659452,0.10569637805168741,0.08272133443407483
8,0.9165429651787059,0.04315506016583481,0.06722479961849792,0.05708441375281559,0.12250872804454549,0.08882255139129848
9,0.9117274299949544,0.048182342735471284,0.0721256192926657,0.06203851121838888,0.12711908484621748,0.09381909514285983
10,0.907397566914498,0.04538621598687831,0.07607217897477747,0.06493679352323467,0.13678070234398298,0.09779522755784224
11,0.9031805228856779,0.04982269290117147,0.0803660457899199,0.06928241098488452,0.14079243206144387,0.1021731840999503
12,0.8946828684180179,0.05876252080284072,0.0890185038330108,0.078039150394139,0.148876363062317,0.11099508913936097
