,PE_lo,NE_lo,PE_hi,NE_hi,Gr_frac
0,0.1036561864062928,0.006872114666688449,0.9646697856120527,0.9381971340160228,0.8529477952936348
1,0.1036561864062928,0.006872114666688449,0.9646697856120527,0.9381971340160228,0.8529477952936348
2,0.10804705234285854,0.008129244621130391,0.9668924216776515,0.9387488986490269,0.8555574128476644
3,0.12616529302763352,0.008129911323874948,0.9689807222213309,0.929082667409813,0.8521484133590992
4,0.13295305430610144,0.008250365229995138,0.9692525721408799,0.927128562250441,0.8534861000974222
5,0.13640997173285713,0.008597363709746801,0.9693381195104034,0.9262235765625546,0.854040649596183
6,0.14277750219383106,0.008352814769345115,0.9694367620526825,0.9237950545266935,0.855021224049601
7,0.1447145495624227,0.0080295779303189,0.97025061449982,0.9224281125913384,0.857395014808936
8,0.14471765898411756,0.00803957504102868,0.9702470608579834,0.9224279799141676,0.8573961143767342
9,0.14471765898411756,0.00803957504102868,0.9702470608579834,0.9224279799141676,0.8573961143767342
10,0.15623405367262347,0.008082149341444389,0.9676598427813757,0.9171803811005991,0.8601987608881344
11,0.15623405367262347,0.008082149341444389,0.9676598427813757,0.9171803811005991,0.8601987608881344
12,0.15623405367262347,0.008082149341444389,0.9676598427813757,0.9171803811005991,0.8601987608881344
