,SoH,LAM PE,LAM NE_tot,LAM NE_Gr,LAM NE_Si,LLI
0,1.0,0.0,0.0,0.0,0.0,0.0
1,0.9777397249262707,0.022260275073729408,0.022260275073729408,0.022260275073729408,0.022260275073729408,0.023337942632037048
2,0.9654085754652088,0.03215416657689785,0.03385969086980323,0.03090375766466036,0.05100500817664777,0.03735495144398891
3,0.9557864180311555,0.023576129060333684,0.033449003345364714,0.03435485410176076,0.028194791706199096,0.04901120702853353
4,0.9461063966376051,0.02593454088123348,0.04107795678229542,0.040472770456508655,0.04458822270011986,0.05902631073740184
5,0.9370108863688913,0.03139410293656175,0.04900092253791777,0.04778243831267148,0.05606850398356167,0.0681288820795509
6,0.92850953559045,0.03290342713622252,0.05538096927990732,0.05308469713695185,0.06870005052482209,0.07710171396271875
7,0.9215239105587176,0.03887346333621733,0.06141770650350742,0.05652399376354211,0.08980273820492624,0.08558763562757865
8,0.910827428410863,0.050021960924429454,0.07230191473574077,0.06746375568449992,0.10036471803934288,0.09674927711145975
9,0.9058034035571172,0.05526193628085385,0.07741899629450733,0.07260752400143988,0.10532700823273633,0.10199854577370147
10,0.9001841894314305,0.04480380178476717,0.07780696480080973,0.06996734084420586,0.12327918320833842,0.10434734105065911
11,0.8956704383520268,0.04959339698245602,0.08243107379641224,0.07463075969607058,0.12767528300612374,0.10908112059969763
12,0.895911821552588,0.049337262384452685,0.08218378895294898,0.07438137266780553,0.12744019147792285,0.10882797087163404
