,Cell Capacity,PE Capacity,NE(tot) Capacity,NE(Gr) Capacity,NE(Si) Capacity,Offset
0,4841.5899215495365,5623.128282777009,5198.603947021728,4434.137775216971,764.4661718047571,547.1466310353983
1,4733.814798101648,5497.955900427525,5082.881593161649,4335.432648625827,747.4489445358223,534.9669965228861
2,4674.11242914985,5442.321279289332,5022.580824421034,4297.1062559599495,725.4745684610848,547.19698397891
3,4627.525888693574,5490.556684659446,5024.715826206572,4281.803618882286,742.9122073242866,651.8671989101605
4,4580.659194674177,5477.295032446908,4985.055918757699,4254.675934868081,730.3799838896185,687.0945718777534
5,4536.622463825822,5446.595214642016,4943.867557708403,4222.26386050278,721.6036972056239,700.4656717431955
6,4495.462409577363,5438.108091047024,4910.700221533313,4198.7529143560605,711.9473071772529,735.4213205615071
7,4461.640877828004,5404.5378116416305,4879.317615575573,4183.50259926392,695.8150163116524,742.9363939637584
8,4409.852897664916,5341.848379542884,4822.734927699278,4134.994187678321,687.7407400209568,734.2870527813196
9,4385.528629567406,5312.383325915119,4796.133247310642,4112.186010277213,683.947237033429,730.23680540417
10,4358.322699089453,5371.19075778515,4794.116352702458,4123.892946148197,670.2234065542614,800.4161408149023
11,4336.468967355028,5344.258249565973,4770.077441426461,4103.214704455484,666.8627369709767,796.4026519511873
12,4337.637645826097,5345.698527268203,4771.362977389727,4104.3205208981635,667.0424564915642,796.6172824813822
