,RMSE (V)
0,0.00942072696165186
1,0.009708929357230767
2,0.007792470086696627
3,0.0062599085424635895
4,0.005729987246631838
5,0.0056037454096369305
6,0.005186330610812465
7,0.005130767765935359
8,0.0054449578334342195
9,0.006214262170102742
10,0.005453101217033367
11,0.005740444213390059
12,0.006102987219081192
