,RMSE (V)
0,0.00924001445740645
1,0.006408644958089708
2,0.006358134673529717
3,0.005728308191570175
4,0.005563806818879464
5,0.005220380827071417
6,0.005288611181215508
7,0.004929291090235967
8,0.005445499684775196
9,0.005366900390292806
10,0.005539024547991395
11,0.005595318308746604
12,0.005495738510814533
