,Cell Capacity,PE Capacity,NE(tot) Capacity,NE(Gr) Capacity,NE(Si) Capacity,Offset
0,4846.129701294416,5730.726808059457,5304.210218239489,4476.024714814178,828.1855034253111,642.2176515155996
1,4732.506822184044,5480.4614980121405,5116.10004298211,4347.651813471933,768.4482295101766,553.9843385293243
2,4686.677901413298,5433.818138734382,5077.625050499275,4333.363415403403,744.2616350958715,569.6991101898291
3,4645.0063002848,5457.508142995901,5013.375550127117,4275.880856196348,737.4946939307695,619.967903232564
4,4602.582479035937,5437.598687733396,4982.190125878666,4264.857428200509,717.3326976781566,642.0311667652983
5,4575.840001961676,5437.159470878322,4946.867952571,4237.090856589579,709.7770959814217,669.0688484622424
6,4514.969326565089,5406.18944668239,4905.348620272246,4211.030944152273,694.3176761199732,701.7266139810661
7,4482.6375259158785,5375.410963491068,4872.702689399663,4185.42841914952,687.2742702501432,701.9505658436982
8,4453.114035008474,5340.007499395058,4840.610156217296,4157.86240312392,682.7477530933768,697.3273878534369
9,4439.553356070886,5357.509098915665,4827.458911599823,4147.781534895994,679.6773767038293,721.4301046353058
10,4421.74614136581,5351.314081677427,4806.438041564193,4130.958108113098,675.4799334510942,732.4409558515438
11,4414.5511875424345,5365.547587688453,4794.113989739451,4122.437579839437,671.6764099000145,757.8370252710747
12,4413.68486075305,5414.678838091398,4862.084507024649,4195.049573422789,667.0349336018602,793.1197597839084
