,PE_lo,NE_lo,PE_hi,NE_hi,Gr_frac
0,0.11964374883982482,0.008187455924763672,0.9652833794847581,0.9218257737708625,0.8438626167987375
1,0.10923383170899288,0.008730765633369582,0.9727572455493432,0.9337531034345526,0.8497980447891598
2,0.11273696445932585,0.008447463483128097,0.9752387600208712,0.9314533677793629,0.8534232780692049
3,0.12161475543234668,0.008725780546564832,0.9727369486710584,0.9352484904135772,0.8528945843859493
4,0.12576190767593465,0.008392216339363118,0.9721984954695205,0.9321992896842847,0.8560206095001951
5,0.13050761031499408,0.008191413510960002,0.9720941090134572,0.9331888150655148,0.85651990253499
6,0.13702358504860906,0.007960462849456748,0.9721717741924035,0.928378087787704,0.8584570170506172
7,0.1382190191991829,0.008421089472960941,0.9721343340209213,0.9283699990724831,0.8589541956365866
8,0.1382190191991829,0.008421089472960941,0.9721343340209213,0.9283699990724831,0.8589541956365866
9,0.14255612908860585,0.00876561661900766,0.9712161041074875,0.9284116327462822,0.8592059737534703
10,0.1444807513541622,0.00847216234749739,0.9707724011950114,0.9284353665182955,0.8594635096489732
11,0.1480357581626533,0.007604299753448759,0.9707945009369915,0.9284316303072545,0.8598956112980287
12,0.1534666396889672,0.007785304109430982,0.968599908481104,0.9155615581782858,0.8628088564404546
