,SoH,LAM PE,LAM NE_tot,LAM NE_Gr,LAM NE_Si,LLI
0,1.0,0.0,0.0,0.0,0.0,0.0
1,0.9765538922575632,0.0436707800649917,0.03546431372771175,0.02868011450369634,0.07213030615492033,0.033435340580703334
2,0.9670970837122812,0.051809949988806725,0.04271798409517402,0.03187232164706599,0.10133462609806254,0.04630295551919893
3,0.9584981390498287,0.04767609314045684,0.054830909060180955,0.04471464555488702,0.10950542978529754,0.05178749481539581
4,0.9497439735891866,0.051150251991390894,0.06071028091109565,0.04717741747823112,0.13385021265003538,0.060448575178975
5,0.9442256571753445,0.05122689442607409,0.06736955191551475,0.0533808174547844,0.14297329155625338,0.0661184396369318
6,0.9316649790365964,0.056631099727289635,0.07519717008871274,0.05920292838975216,0.16163990646017223,0.07924804896161851
7,0.9249933043926893,0.06200188151853392,0.08135189049559344,0.06492285324137714,0.1701445299300337,0.08564540870328465
8,0.9189011251223907,0.06817971293185832,0.08740227912310494,0.07108144658746973,0.17561011359220258,0.0919969279574076
9,0.9161028758444224,0.06512571993816096,0.08988167644643308,0.07333363884962618,0.1793174670496691,0.0933590700518503
10,0.9124283529152653,0.06620673765994911,0.09384473016616435,0.07709220316836551,0.1843857074805566,0.09690950504121526
11,0.9109436725070099,0.06372302023845056,0.09616817726152316,0.07899579593572925,0.18897830604132426,0.09921290261753747
12,0.9107649057709168,0.05514971844820493,0.08335373090879983,0.06277336683630308,0.1945826981478722,0.09635525811693485
