,Cell Capacity,PE Capacity,NE(tot) Capacity,NE(Gr) Capacity,NE(Si) Capacity,Offset
0,4823.322304322541,5629.523822546143,5252.6680778388145,4445.054588516493,807.613489322322,573.0489195733232
1,4718.283698851256,5451.508567260041,5106.506413458398,4337.259782968507,769.2466304898907,540.9633345787206
2,4679.973262134009,5422.3921508203875,5060.615483473045,4304.8188872201845,755.7965962528609,553.7487275838254
3,4644.625771044633,5405.220416895877,5022.9365742658765,4276.074656121499,746.8619181443773,573.0526787237435
4,4609.954989397288,5358.377604910477,4986.168486109603,4270.0671462348355,716.1013398747675,571.618102943742
5,4586.396641471083,5371.712810986919,4939.498724685322,4224.514067661026,714.9846570242951,598.6085931498837
6,4545.679257310686,5324.023500353261,4895.646549905188,4187.009426080619,708.6371238245694,593.2942302732397
7,4505.091618027881,5397.493203078672,4915.533920050691,4208.478833900082,707.0550861506102,684.2223353736954
8,4462.037496964337,5361.968026355217,4867.820501731554,4169.502204946328,698.3182967852263,693.7388113578885
9,4437.373576182802,5344.250070785567,4844.215168110139,4150.734509647841,693.4806584622971,698.4582680062774
10,4410.9959601979845,5312.481599262085,4815.419114485517,4126.060796905223,689.3583175802944,694.3063381183417
11,4391.679107136674,5318.433802110611,4792.223098515426,4108.398793337112,683.8243051783137,721.5957203648271
12,4389.3371744841115,5338.227262391077,4786.532673736861,4107.113716611614,679.418957125247,745.7603956372355
