,SoH,LAM PE,LAM NE_tot,LAM NE_Gr,LAM NE_Si,LLI
0,1.0,0.0,0.0,0.0,0.0,0.0
1,0.9782227686967649,0.03162172519337314,0.027826175614841797,0.024250502080776726,0.047506461122418187,0.03025501119025794
2,0.9702800200475789,0.036793817426652775,0.03656286510393558,0.03154870170967039,0.06416050964297448,0.03894234469214867
3,0.9629515669898808,0.03984411696632928,0.043736154687211815,0.03801526596130955,0.07522357164801952,0.04650470166583465
4,0.955763413377116,0.04816503601063549,0.050736042670120884,0.03936677014804857,0.11331181395241852,0.05591900851501711
5,0.9508791559214007,0.04579623777888553,0.05962100565134987,0.04961480595203904,0.11469450860182251,0.05875010361257308
6,0.9424373845465317,0.05426752454077177,0.06796955806895777,0.05805219200288714,0.12255412620807626,0.06753553097641292
7,0.9340225126549248,0.041216739955552195,0.06418341170471131,0.05322223831122108,0.12451303067769648,0.07115511127263291
8,0.9250962750230418,0.04752725179337003,0.07326706549971151,0.06199077605976688,0.1353310636611662,0.0804934158406861
9,0.9199828035970432,0.0506745793699388,0.07776103566337123,0.06621292787472366,0.14132110516850716,0.08514527420767339
10,0.9145140386419875,0.05631776918934228,0.08324321218735786,0.07176375121137313,0.14642545389039618,0.0908709006313517
11,0.9105091532450488,0.055260450127170846,0.08765925668633467,0.0757371565355146,0.1532777569724365,0.09529465215607094
12,0.9100236097742208,0.051744440442445305,0.08874259656127792,0.07602625911005167,0.15873252972117224,0.09620091856667878
