,RMSE (V)
0,0.00898646606714267
1,0.006829101500163107
2,0.006443167460195489
3,0.006158961357569681
4,0.006095647399478545
5,0.0057001389980120935
6,0.005749358131459615
7,0.005463510273121589
8,0.005406145466208093
9,0.00556399554740714
10,0.006047610051164969
11,0.005567262917286713
12,0.0057586067347019845
