,PE_lo,NE_lo,PE_hi,NE_hi,Gr_frac
0,0.11011146149089006,0.008914741105111094,0.9669019212816846,0.9271761337623594,0.8462469972679845
1,0.1071807943675266,0.008485974686603701,0.972681350890121,0.9324608641366658,0.8493595095734119
2,0.11034206620512313,0.00880707618622517,0.9734248407377519,0.9335904898673995,0.850651250085856
3,0.11437393280127862,0.008991480849229258,0.9736591076530305,0.9336748214354013,0.8513097055672987
4,0.11441654173138785,0.008316793148196918,0.9747431796250431,0.9328653723307164,0.8563824423764114
5,0.11951030866756958,0.008779527110306834,0.9733155664785221,0.9372941187935483,0.855251575741657
6,0.11951030866756958,0.008779527110306834,0.9733155664785221,0.9372941187935483,0.855251575741657
7,0.13451436897672717,0.008507327499873076,0.9691780634966619,0.9250082999886199,0.8561590464737717
8,0.13697015307598467,0.008359135261057136,0.9691342903913268,0.9249988296329277,0.8565439509248904
9,0.13886123255531402,0.009010930025195379,0.9691692303864371,0.9250258926541043,0.8568435475311798
10,0.13886123255531402,0.009010930025195379,0.9691692303864371,0.9250258926541043,0.8568435475311798
11,0.14350756267916778,0.008689026155619856,0.9692542525023717,0.9251069426122148,0.8573054110543905
12,0.14695150961046854,0.008085217808547538,0.9691977270781861,0.9251033337754322,0.8580561330223152
