,PE_lo,NE_lo,PE_hi,NE_hi,Gr_frac
0,0.10443355410841637,0.007684072289123665,0.9719905559704065,0.9228353038303467,0.8539175219640665
1,0.11433303178759664,0.008390642454860413,0.9715497167317558,0.8994265797984135,0.8502758810218998
2,0.11755360898546546,0.008377893559584165,0.9732539290852923,0.9005704359766445,0.8515811583287126
3,0.11920706842626037,0.009264180885555574,0.9731124253888488,0.9005407767961521,0.8514917207623937
4,0.12336612658183731,0.0079939982364429,0.9756298663638026,0.8935617528074995,0.8581027973867382
5,0.12336979696110996,0.008006169887715856,0.975629650768038,0.8935617590131579,0.8581035445783767
6,0.1311795676831378,0.008154247873852665,0.9757664430381069,0.8903184772198537,0.8591603472005462
7,0.13458267846486363,0.008423039011060274,0.9743486577452702,0.8906713875262325,0.8597033416528754
8,0.13491301312489573,0.008339611665007884,0.9742511400341964,0.8903672127709908,0.8598361798444878
9,0.13820485675169528,0.00829186113254028,0.9739143415056448,0.8906725073304587,0.8603955518370853
10,0.14078750724921316,0.00793296487187166,0.9748669520382081,0.887834799698499,0.8641811550548392
11,0.14078750724921316,0.00793296487187166,0.9748669520382081,0.887834799698499,0.8641811550548392
12,0.1452903766654591,0.0078013613683999535,0.9754806104690815,0.8876581743457465,0.8657827166887772
