,RMSE (V)
0,0.008726089932694945
1,0.006867368866257299
2,0.006619208880031123
3,0.00630667570604623
4,0.006008644640340352
5,0.00601486049977319
6,0.005713095926400718
7,0.005587941549610667
8,0.005899751397322062
9,0.005603115803886118
10,0.005238185091690516
11,0.005224203684029533
12,0.005332234700516466
