,SoH,LAM PE,LAM NE_tot,LAM NE_Gr,LAM NE_Si,LLI
0,1.0,0.0,0.0,0.0,0.0,0.0
1,0.9783800414159824,0.00981808879775592,-0.00485924561757245,-0.0005738943092410409,-0.02990904364369551,0.020617157400201647
2,0.9690206328314772,0.017552506158218906,0.006043669540064522,0.008763186783691368,-0.009853126960369218,0.03227391713941337
3,0.9604181220199197,0.024227381079622745,0.013855147556008585,0.016656578966597224,-0.002520473943879109,0.04003952414400867
4,0.9535760901200543,0.029312670273316077,0.014568531050087485,0.009738671020705247,0.04280122646417328,0.051230810721291556
5,0.9475061336006972,0.035487150027499026,0.020827810579476358,0.01602777214158324,0.04888618543268586,0.057515624650590125
6,0.941143759979837,0.03326006766791756,0.02366380051319028,0.017669357333028435,0.05870400612018356,0.06383470117722478
7,0.9374134482984924,0.031564006191546534,0.027626321865631853,0.021037888407925864,0.06613866672362045,0.06568470119054973
8,0.9303872473097244,0.03833277082398412,0.034673025970947347,0.027982168885735126,0.07378408281251425,0.07295579954467726
9,0.9282631586209429,0.03636225563572526,0.03726223317940025,0.029958665969533782,0.0799548551639011,0.07472113384694934
10,0.9253162637878176,0.03754419485906346,0.0376150101591779,0.026047655966615957,0.10523137702669183,0.07914099657226076
11,0.9200758422295777,0.04299495191100067,0.04306536615685952,0.031563522335891325,0.1102987955569481,0.08458657234036776
12,0.918094922463929,0.04058172943295468,0.04507678229884815,0.031808112159475876,0.12263810298225297,0.0873309757503398
