,Cell Capacity,PE Capacity,NE(tot) Capacity,NE(Gr) Capacity,NE(Si) Capacity,Offset
0,4832.31063583974,5570.020904065573,5280.341072919234,4508.975764112272,771.3653088069617,541.122556954202
1,4727.836280027777,5515.3339442241,5305.999547137104,4511.563439643803,794.4361074933017,586.064106098506
2,4682.608710379703,5472.253077845554,5248.42843641568,4469.462767288219,778.9656691274612,599.3123237871808
3,4641.038705890087,5435.073885001311,5207.181168207885,4433.8716532388635,773.3095149690218,599.6589562649957
4,4607.975882369613,5406.748717889221,5203.414260043358,4465.06433250525,738.349927538108,625.4135623090397
5,4578.643966922039,5372.356736586692,5170.363129257443,4436.7069279731595,733.6562012842836,621.3917542013343
6,4547.89900120477,5384.761631884637,5155.388135128068,4429.3050601302075,726.0830749978605,664.3323902076208
7,4529.872976392011,5394.208729762603,5134.464670878451,4414.116435152836,720.3482357256155,682.719262826281
8,4495.92019062444,5356.506569265226,5097.255669762445,4382.804842779196,714.4508269832482,680.1533082397913
9,4485.655934262174,5367.482380055607,5083.5837725933525,4373.892865330509,709.6909072628432,699.6597627548542
10,4471.415623017361,5360.898953874278,5081.720989817452,4391.527514646867,690.1934751705858,714.4344862299994
11,4446.092278185195,5330.538123152005,5052.941251180862,4366.656606869722,686.2846443111405,710.388369210221
12,4436.519858532905,5343.979822800882,5042.320287911587,4365.553757283031,676.7665306285562,737.0918786461408
